page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
43058794,Putin khuilo!,http://en.wikipedia.org/w/index.php?diff=613260931,613260931,1402997895,194.0.148.99,3254817891
3066598,Scouting and Guiding in Ukraine,http://en.wikipedia.org/w/index.php?diff=610329828,610329828,1401186974,193.29.204.3,3239955459
3066598,Scouting and Guiding in Ukraine,http://en.wikipedia.org/w/index.php?diff=610329741,610329741,1401186914,193.29.204.3,3239955459
3066598,Scouting and Guiding in Ukraine,http://en.wikipedia.org/w/index.php?diff=610329695,610329695,1401186882,193.29.204.3,3239955459
3066598,Scouting and Guiding in Ukraine,http://en.wikipedia.org/w/index.php?diff=610329442,610329442,1401186695,193.29.204.3,3239955459
3066598,Scouting and Guiding in Ukraine,http://en.wikipedia.org/w/index.php?diff=610329212,610329212,1401186543,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609666896,609666896,1400763600,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609666604,609666604,1400763401,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609666442,609666442,1400763298,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609666145,609666145,1400763096,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609665610,609665610,1400762764,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609665368,609665368,1400762645,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609665207,609665207,1400762571,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609664946,609664946,1400762455,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609661786,609661786,1400760862,193.29.204.3,3239955459
18960276,National Organization of Scouts of Ukraine,http://en.wikipedia.org/w/index.php?diff=609661719,609661719,1400760829,193.29.204.3,3239955459
