page_id,title,diff_url,revision_id,ts,timestamp,contributor_ip
134847,מקורות,http://he.wikipedia.org/w/index.php?diff=15671514,15671514,1.404282324E9,1404282324,147.237.73.201
1142056,שוקי אמרני,http://he.wikipedia.org/w/index.php?diff=15669782,15669782,1.40423324E9,1404233240,147.237.70.61
12279,שיחה:שבת,http://he.wikipedia.org/w/index.php?diff=15664046,15664046,1.404125939E9,1404125939,147.237.248.2
739884,שיחה:חילול שבת,http://he.wikipedia.org/w/index.php?diff=15664043,15664043,1.404125879E9,1404125879,147.237.248.2
969384,The Voice ישראל,http://he.wikipedia.org/w/index.php?diff=15663140,15663140,1.404105482E9,1404105482,147.237.70.62
636609,יריב לוין,http://he.wikipedia.org/w/index.php?diff=15660676,15660676,1.404047961E9,1404047961,147.237.70.61
644196,כרמל אולפינים,http://he.wikipedia.org/w/index.php?diff=15645979,15645979,1.403696082E9,1403696082,147.237.70.62
636609,יריב לוין,http://he.wikipedia.org/w/index.php?diff=15641888,15641888,1.403601498E9,1403601498,147.237.70.61
775181,שיחה:שלום צברי,http://he.wikipedia.org/w/index.php?diff=15641592,15641592,1.403592605E9,1403592605,192.115.177.220
1141453,יחסי ישראל-שווייץ,http://he.wikipedia.org/w/index.php?diff=15638187,15638187,1.403513553E9,1403513553,147.237.70.61
1141453,יחסי ישראל-שווייץ,http://he.wikipedia.org/w/index.php?diff=15638146,15638146,1.403512753E9,1403512753,147.237.70.61
93759,שיחה:יצחק טאיטו,http://he.wikipedia.org/w/index.php?diff=15637595,15637595,1.403497809E9,1403497809,147.237.70.61
399689,אפרת דובדבני,http://he.wikipedia.org/w/index.php?diff=15633840,15633840,1.403420633E9,1403420633,147.237.70.62
143796,שיחה:מטאורולוגיה - מונחים,http://he.wikipedia.org/w/index.php?diff=15623775,15623775,1.403175842E9,1403175842,147.237.70.107
348892,קללת טיפקאנו,http://he.wikipedia.org/w/index.php?diff=15608206,15608206,1.402978874E9,1402978874,147.237.70.61
673142,יחסי ישראל-צרפת,http://he.wikipedia.org/w/index.php?diff=15606173,15606173,1.402925998E9,1402925998,147.237.70.62
1141453,יחסי ישראל-שווייץ,http://he.wikipedia.org/w/index.php?diff=15605947,15605947,1.40292365E9,1402923650,147.237.70.62
1040595,אזור תעשייה עידן הנגב,http://he.wikipedia.org/w/index.php?diff=15604830,15604830,1.402907868E9,1402907868,147.237.70.62
1196553,רצח שלושת הנערים,http://he.wikipedia.org/w/index.php?diff=15599196,15599196,1.4028326E9,1402832600,147.237.70.62
1196553,רצח שלושת הנערים,http://he.wikipedia.org/w/index.php?diff=15599194,15599194,1.402832565E9,1402832565,147.237.70.62
26638,יוהנס ברהמס,http://he.wikipedia.org/w/index.php?diff=15597074,15597074,1.402809499E9,1402809499,147.237.70.61
48936,יובל דיסקין,http://he.wikipedia.org/w/index.php?diff=15596385,15596385,1.402779912E9,1402779912,147.237.73.201
142155,אורי אריאל,http://he.wikipedia.org/w/index.php?diff=15579431,15579431,1.402556324E9,1402556324,147.237.70.61
142155,אורי אריאל,http://he.wikipedia.org/w/index.php?diff=15575540,15575540,1.402502887E9,1402502887,147.237.70.61
142155,אורי אריאל,http://he.wikipedia.org/w/index.php?diff=15575538,15575538,1.402502838E9,1402502838,147.237.70.61
1180265,בוקו חראם,http://he.wikipedia.org/w/index.php?diff=15570560,15570560,1.402468704E9,1402468704,147.237.70.62
1162458,מריו שניידר,http://he.wikipedia.org/w/index.php?diff=15567425,15567425,1.402410515E9,1402410515,147.237.70.108
1162458,מריו שניידר,http://he.wikipedia.org/w/index.php?diff=15567327,15567327,1.402408666E9,1402408666,147.237.70.108
1162458,מריו שניידר,http://he.wikipedia.org/w/index.php?diff=15567322,15567322,1.402408626E9,1402408626,147.237.70.108
531417,בית החולים הנסן,http://he.wikipedia.org/w/index.php?diff=15566775,15566775,1.40240161E9,1402401610,147.237.70.61
1162458,מריו שניידר,http://he.wikipedia.org/w/index.php?diff=15566031,15566031,1.402389224E9,1402389224,147.237.70.108
655013,יחסי דרום אפריקה-ישראל,http://he.wikipedia.org/w/index.php?diff=15563414,15563414,1.402316422E9,1402316422,147.237.73.201
1145349,ויקיפדיה:דיווח על טעויות,http://he.wikipedia.org/w/index.php?diff=15541836,15541836,1.401958609E9,1401958609,147.237.70.62
1194289,שיחה:זמר (יישוב),http://he.wikipedia.org/w/index.php?diff=15541835,15541835,1.401958605E9,1401958605,147.237.70.62
962854,הראל לוקר,http://he.wikipedia.org/w/index.php?diff=15527055,15527055,1.401625748E9,1401625748,147.237.73.201
1189711,ר קרן ויקימדיה העולמית,http://he.wikipedia.org/w/index.php?diff=15515865,15515865,1.401369656E9,1401369656,147.237.70.61
17727,דרום אפריקה,http://he.wikipedia.org/w/index.php?diff=15515435,15515435,1.401361074E9,1401361074,147.237.73.201
14603,שיחה:טבריה,http://he.wikipedia.org/w/index.php?diff=15508203,15508203,1.401193017E9,1401193017,147.237.70.61
14603,שיחה:טבריה,http://he.wikipedia.org/w/index.php?diff=15508202,15508202,1.40119296E9,1401192960,147.237.70.61
