page_id,title,diff_url,revision_id,timestamp,contributor_ip
1499199,Драгоманова Оксана Олександрівна,http://uk.wikipedia.org/w/index.php?diff=14454506,14454506,1403270164,195.78.69.16
1583060,Драгоманов Світозар Михайлович,http://uk.wikipedia.org/w/index.php?diff=14454470,14454470,1403269644,195.78.69.16
196613,Росток,http://uk.wikipedia.org/w/index.php?diff=14453716,14453716,1403255248,195.78.69.16
255134,Семерак Остап Михайлович,http://uk.wikipedia.org/w/index.php?diff=14453420,14453420,1403247297,195.78.69.16
255134,Семерак Остап Михайлович,http://uk.wikipedia.org/w/index.php?diff=14453396,14453396,1403246388,195.78.69.16
255134,Семерак Остап Михайлович,http://uk.wikipedia.org/w/index.php?diff=14453392,14453392,1403246341,195.78.69.16
255134,Семерак Остап Михайлович,http://uk.wikipedia.org/w/index.php?diff=14453389,14453389,1403246255,195.78.69.16
255134,Семерак Остап Михайлович,http://uk.wikipedia.org/w/index.php?diff=14447377,14447377,1403102983,195.78.69.16
1319220,Мустафаєв Фемій Мансурович,http://uk.wikipedia.org/w/index.php?diff=14446828,14446828,1403094093,193.19.152.14
255156,Стець Юрій Ярославович,http://uk.wikipedia.org/w/index.php?diff=14444810,14444810,1403034099,193.29.204.3
255156,Стець Юрій Ярославович,http://uk.wikipedia.org/w/index.php?diff=14444797,14444797,1403033990,193.29.204.3
1721625,Конотоп Яна Олександрівна,http://uk.wikipedia.org/w/index.php?diff=14444773,14444773,1403033708,193.29.204.3
1721625,Конотоп Яна Олександрівна,http://uk.wikipedia.org/w/index.php?diff=14444767,14444767,1403033519,193.29.204.3
1721625,Конотоп Яна Олександрівна,http://uk.wikipedia.org/w/index.php?diff=14444281,14444281,1403026552,193.29.204.3
1721625,Конотоп Яна Олександрівна,http://uk.wikipedia.org/w/index.php?diff=14444279,14444279,1403026509,193.29.204.3
1721625,Конотоп Яна Олександрівна,http://uk.wikipedia.org/w/index.php?diff=14444275,14444275,1403026468,193.29.204.3
246458,Йон Сіґурдссон,http://uk.wikipedia.org/w/index.php?diff=14443616,14443616,1403013728,195.78.69.16
72435,Австро-прусська війна,http://uk.wikipedia.org/w/index.php?diff=14443579,14443579,1403013336,195.78.69.16
740325,Пепсі,http://uk.wikipedia.org/w/index.php?diff=14439282,14439282,1402926544,195.78.69.16
505272,Артек (табір),http://uk.wikipedia.org/w/index.php?diff=14439208,14439208,1402925746,195.78.69.16
1712315,Москва 2042,http://uk.wikipedia.org/w/index.php?diff=14439171,14439171,1402925296,195.78.69.16
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14428252,14428252,1402731203,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14428174,14428174,1402728582,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14428161,14428161,1402728174,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14428158,14428158,1402728097,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14426065,14426065,1402665595,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14426033,14426033,1402665304,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14426024,14426024,1402665233,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14426016,14426016,1402665135,80.91.163.161
1543692,Мунтіян Валерій Іванович,http://uk.wikipedia.org/w/index.php?diff=14426006,14426006,1402665042,80.91.163.161
1689604,Старобасанська сільська рада,http://uk.wikipedia.org/w/index.php?diff=14425298,14425298,1402656806,193.19.152.14
788604,Лунд,http://uk.wikipedia.org/w/index.php?diff=14421207,14421207,1402578875,195.78.69.16
1565482,Місцеві вибори в Україні 2014,http://uk.wikipedia.org/w/index.php?diff=14411515,14411515,1402392744,193.19.152.4
1565482,Місцеві вибори в Україні 2014,http://uk.wikipedia.org/w/index.php?diff=14411513,14411513,1402392701,193.19.152.4
278156,Вишеньки (Бориспільський район),http://uk.wikipedia.org/w/index.php?diff=14391866,14391866,1401978633,195.78.69.16
204213,Deutsche Welle,http://uk.wikipedia.org/w/index.php?diff=14391497,14391497,1401973588,195.78.69.16
989,1972,http://uk.wikipedia.org/w/index.php?diff=14391400,14391400,1401972334,195.78.69.16
697372,Ельзас-Лотарингія,http://uk.wikipedia.org/w/index.php?diff=14391394,14391394,1401972253,195.78.69.16
890028,Лотарингія (герцогство),http://uk.wikipedia.org/w/index.php?diff=14391378,14391378,1401972033,195.78.69.16
828604,Сарргемін,http://uk.wikipedia.org/w/index.php?diff=14391352,14391352,1401971638,195.78.69.16
533483,Шамбері,http://uk.wikipedia.org/w/index.php?diff=14391323,14391323,1401971346,195.78.69.16
677681,Анноне,http://uk.wikipedia.org/w/index.php?diff=14391300,14391300,1401971110,195.78.69.16
1706641,Місцеві вибори у Києві 2014,http://uk.wikipedia.org/w/index.php?diff=14390510,14390510,1401958820,193.29.204.3
898070,Толстой Федір Іванович,http://uk.wikipedia.org/w/index.php?diff=14386000,14386000,1401872364,195.78.69.16
436401,Хайрам Стівенс Максим,http://uk.wikipedia.org/w/index.php?diff=14385817,14385817,1401869381,195.78.69.16
1562181,Кисельов Дмитро Костянтинович,http://uk.wikipedia.org/w/index.php?diff=14385759,14385759,1401868325,195.78.69.16
1374296,Василій Захарофф,http://uk.wikipedia.org/w/index.php?diff=14383302,14383302,1401809544,195.78.69.16
1067289,Гершуні Григорій Андрійович,http://uk.wikipedia.org/w/index.php?diff=14383156,14383156,1401807717,195.78.69.16
1419050,Бернард Мейдофф,http://uk.wikipedia.org/w/index.php?diff=14383110,14383110,1401807343,195.78.69.16
