page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
6153692,Wikipedia:Fragen von Neulingen/Alt05,http://de.wikipedia.org/w/index.php?diff=104879552,104879552,1340745904,148.168.96.25,2494062617
7858915,Wirkstoffdesign,http://de.wikipedia.org/w/index.php?diff=122243938,122243938,1281966531,148.168.40.4,2494048260
3813113,Patrick Harand,http://de.wikipedia.org/w/index.php?diff=65637323,65637323,1255682079,40.252.72.102,687622246
73904,Analytische Philosophie,http://de.wikipedia.org/w/index.php?diff=64751943,64751943,1253527954,40.252.72.102,687622246
912138,Standardfehler,http://de.wikipedia.org/w/index.php?diff=64046096,64046096,1251886798,40.252.72.102,687622246
912138,Standardfehler,http://de.wikipedia.org/w/index.php?diff=64046015,64046015,1251886633,40.252.72.102,687622246
3124073,Bronchialkarzinom,http://de.wikipedia.org/w/index.php?diff=63177649,63177649,1249894914,40.252.72.101,687622245
4828052,Alibi (Roman),http://de.wikipedia.org/w/index.php?diff=66081737,66081737,1247585393,148.168.127.10,2494070538
4828052,Alibi (Roman),http://de.wikipedia.org/w/index.php?diff=66081736,66081736,1247585393,148.168.127.10,2494070538
4828052,Alibi (Roman),http://de.wikipedia.org/w/index.php?diff=66081735,66081735,1247585317,148.168.127.10,2494070538
4828052,Alibi (Roman),http://de.wikipedia.org/w/index.php?diff=66081734,66081734,1247585317,148.168.127.10,2494070538
454573,Alois Brunner,http://de.wikipedia.org/w/index.php?diff=61546369,61546369,1245923113,40.252.56.102,687618150
3356923,Boxheimer Dokumente,http://de.wikipedia.org/w/index.php?diff=61466191,61466191,1245753583,40.252.72.101,687622245
11033,Abstrakter Expressionismus,http://de.wikipedia.org/w/index.php?diff=61317391,61317391,1245407042,40.0.96.2,671113218
696489,Diskussion:Kommaregeln,http://de.wikipedia.org/w/index.php?diff=61219209,61219209,1245166098,40.252.72.101,687622245
6821598,Army of God,http://de.wikipedia.org/w/index.php?diff=115155978,115155978,1244821099,148.168.40.4,2494048260
10241,Bauhaus,http://de.wikipedia.org/w/index.php?diff=58525950,58525950,1238502981,40.252.72.101,687622245
10241,Bauhaus,http://de.wikipedia.org/w/index.php?diff=58525328,58525328,1238501831,40.252.72.101,687622245
3878473,Diskussion:Martin Seligman,http://de.wikipedia.org/w/index.php?diff=58524677,58524677,1238500614,40.252.72.101,687622245
1228456,Martin Seligman,http://de.wikipedia.org/w/index.php?diff=58523835,58523835,1238499195,40.252.72.101,687622245
1228456,Martin Seligman,http://de.wikipedia.org/w/index.php?diff=58523578,58523578,1238498742,40.252.72.101,687622245
6268639,"Hörst du, es ist ganz nah",http://de.wikipedia.org/w/index.php?diff=89926538,89926538,1237816437,148.168.127.10,2494070538
5003961,Mike Crapo,http://de.wikipedia.org/w/index.php?diff=68751301,68751301,1236186087,148.168.40.4,2494048260
7532121,Vergleich von Spanisch und Portugiesisch,http://de.wikipedia.org/w/index.php?diff=114055095,114055095,1235168007,148.168.127.10,2494070538
7532121,Vergleich von Spanisch und Portugiesisch,http://de.wikipedia.org/w/index.php?diff=114055094,114055094,1235167132,148.168.127.10,2494070538
376768,Kurt Demmler,http://de.wikipedia.org/w/index.php?diff=56226803,56226803,1233737542,40.252.72.101,687622245
285324,Diskussion:Kolosseum,http://de.wikipedia.org/w/index.php?diff=55989743,55989743,1233226423,40.252.72.101,687622245
1313032,Richard Yates (Schriftsteller),http://de.wikipedia.org/w/index.php?diff=55868934,55868934,1232974782,40.252.72.101,687622245
1313032,Richard Yates (Schriftsteller),http://de.wikipedia.org/w/index.php?diff=55868659,55868659,1232974444,40.252.72.101,687622245
4164597,Diskussion:Asturcon-Pony,http://de.wikipedia.org/w/index.php?diff=55630499,55630499,1232556278,40.252.72.101,687622245
4897384,Operation Walküre – Das Stauffenberg-Attentat,http://de.wikipedia.org/w/index.php?diff=55615553,55615553,1232538207,40.252.72.101,687622245
878535,Ron Asheton,http://de.wikipedia.org/w/index.php?diff=55036497,55036497,1231347547,40.252.72.101,687622245
2428343,Diskussion:Ron Asheton,http://de.wikipedia.org/w/index.php?diff=55036382,55036382,1231347367,40.252.72.101,687622245
878535,Ron Asheton,http://de.wikipedia.org/w/index.php?diff=55019571,55019571,1231321503,40.252.72.101,687622245
