id,title,diff_url,revision_id,timestamp,contributor_ip
21940987,Dublin Philharmonic Orchestra,http://en.wikipedia.org/w/index.php?diff=336008432,336008432,1262704082,193.178.95.4
6928639,Dublin Senior Hurling Championship,http://en.wikipedia.org/w/index.php?diff=333244900,333244900,1261485361,193.178.3.4
6928639,Dublin Senior Hurling Championship,http://en.wikipedia.org/w/index.php?diff=333244767,333244767,1261485316,193.178.3.4
6928639,Dublin Senior Hurling Championship,http://en.wikipedia.org/w/index.php?diff=333244661,333244661,1261485281,193.178.3.4
6928639,Dublin Senior Hurling Championship,http://en.wikipedia.org/w/index.php?diff=333244545,333244545,1261485241,193.178.3.4
6928639,Dublin Senior Hurling Championship,http://en.wikipedia.org/w/index.php?diff=333244302,333244302,1261485167,193.178.3.4
6928639,Dublin Senior Hurling Championship,http://en.wikipedia.org/w/index.php?diff=333244002,333244002,1261485086,193.178.3.4
1258728,Hanna Sheehy-Skeffington,http://en.wikipedia.org/w/index.php?diff=329440864,329440864,1259841488,193.178.3.7
378848,Eamon Dunphy,http://en.wikipedia.org/w/index.php?diff=324842381,324842381,1257776578,193.178.95.4
740613,Middle of the road (music),http://en.wikipedia.org/w/index.php?diff=324276802,324276802,1257516264,193.178.95.4
740613,Middle of the road (music),http://en.wikipedia.org/w/index.php?diff=324276424,324276424,1257516078,193.178.95.4
740613,Middle of the road (music),http://en.wikipedia.org/w/index.php?diff=324276310,324276310,1257516028,193.178.95.4
2475769,Alf Stewart,http://en.wikipedia.org/w/index.php?diff=323454618,323454618,1257162222,193.178.95.4
9816203,Stephen Hiney,http://en.wikipedia.org/w/index.php?diff=321565687,321565687,1256302744,193.178.3.4
9816203,Stephen Hiney,http://en.wikipedia.org/w/index.php?diff=321565639,321565639,1256302713,193.178.3.4
9816203,Stephen Hiney,http://en.wikipedia.org/w/index.php?diff=321565600,321565600,1256302691,193.178.3.4
39010,Robbie Williams,http://en.wikipedia.org/w/index.php?diff=317464510,317464510,1254488282,193.178.95.4
170874,Shoegazing,http://en.wikipedia.org/w/index.php?diff=316644347,316644347,1254125913,193.178.95.4
214320,Carpaccio,http://en.wikipedia.org/w/index.php?diff=315722427,315722427,1253718863,193.178.95.4
39010,Robbie Williams,http://en.wikipedia.org/w/index.php?diff=311826082,311826082,1252068927,193.178.95.4
39010,Robbie Williams,http://en.wikipedia.org/w/index.php?diff=311825947,311825947,1252068848,193.178.95.4
7654294,User talk:Acalamari,http://en.wikipedia.org/w/index.php?diff=311800822,311800822,1252052982,193.178.95.4
2182698,Where the Streets Have No Name,http://en.wikipedia.org/w/index.php?diff=311433557,311433557,1251879770,193.178.95.4
18689420,Talk:Shakira,http://en.wikipedia.org/w/index.php?diff=311251927,311251927,1251801178,193.178.95.4
20051619,Arrows A11,http://en.wikipedia.org/w/index.php?diff=309978582,309978582,1251210897,193.178.95.4
12862,Glasnevin,http://en.wikipedia.org/w/index.php?diff=308889629,308889629,1250694141,193.178.95.4
1114928,"Paul Teutul, Sr.",http://en.wikipedia.org/w/index.php?diff=308694784,308694784,1250607647,193.178.95.4
21087450,List of soft rock musicians,http://en.wikipedia.org/w/index.php?diff=308453232,308453232,1250503262,193.178.95.4
379971,In Utero,http://en.wikipedia.org/w/index.php?diff=307518412,307518412,1250063388,193.178.95.4
86378,Cú Chulainn,http://en.wikipedia.org/w/index.php?diff=304853534,304853534,1248863016,193.178.95.4
1188831,Talk:My Bloody Valentine (band),http://en.wikipedia.org/w/index.php?diff=302609394,302609394,1247842961,193.178.95.4
1469895,"Artane, Dublin",http://en.wikipedia.org/w/index.php?diff=293955543,293955543,1243954512,193.178.95.4
1469895,"Artane, Dublin",http://en.wikipedia.org/w/index.php?diff=293955407,293955407,1243954462,193.178.95.4
620333,Letterkenny,http://en.wikipedia.org/w/index.php?diff=292657398,292657398,1243429457,193.178.95.4
5635707,John Utaka,http://en.wikipedia.org/w/index.php?diff=289242995,289242995,1242045582,193.178.95.4
4493359,Ichabod and I,http://en.wikipedia.org/w/index.php?diff=288468561,288468561,1241702990,193.178.95.4
4493359,Ichabod and I,http://en.wikipedia.org/w/index.php?diff=288468463,288468463,1241702952,193.178.95.4
4090401,Blacklion,http://en.wikipedia.org/w/index.php?diff=284422929,284422929,1239978561,193.178.95.4
3888032,Madeleine Wickham,http://en.wikipedia.org/w/index.php?diff=283982619,283982619,1239798216,193.178.95.4
19520817,Template:Today FM,http://en.wikipedia.org/w/index.php?diff=282526696,282526696,1239185862,193.178.95.4
19520817,Template:Today FM,http://en.wikipedia.org/w/index.php?diff=282526466,282526466,1239185725,193.178.95.4
22035228,The Ray Foley Show,http://en.wikipedia.org/w/index.php?diff=282526178,282526178,1239185563,193.178.95.4
21501565,Lil Rounds,http://en.wikipedia.org/w/index.php?diff=282086349,282086349,1239016065,193.178.95.4
1037486,"Skerries, Dublin",http://en.wikipedia.org/w/index.php?diff=280836172,280836172,1238495343,193.178.95.4
82884,Nausicaa,http://en.wikipedia.org/w/index.php?diff=279557911,279557911,1237978254,193.178.95.4
82884,Nausicaa,http://en.wikipedia.org/w/index.php?diff=279557859,279557859,1237978223,193.178.95.4
4582202,Philipp Degen,http://en.wikipedia.org/w/index.php?diff=279118627,279118627,1237802499,193.178.95.4
39010,Robbie Williams,http://en.wikipedia.org/w/index.php?diff=279116319,279116319,1237801005,193.178.95.4
2179486,Edna Diefenbaker,http://en.wikipedia.org/w/index.php?diff=278527959,278527959,1237556064,193.178.95.4
623820,Blanchardstown,http://en.wikipedia.org/w/index.php?diff=278325089,278325089,1237469685,193.178.95.4
2484258,Kildare GAA,http://en.wikipedia.org/w/index.php?diff=277648958,277648958,1237214191,193.178.95.4
1495471,Liffey Valley Shopping Centre,http://en.wikipedia.org/w/index.php?diff=273451292,273451292,1235667958,193.178.95.4
180733,Jack Charlton,http://en.wikipedia.org/w/index.php?diff=272098891,272098891,1235149634,193.178.95.4
20155,Marcus Aurelius,http://en.wikipedia.org/w/index.php?diff=246477877,246477877,1224502747,193.178.3.7
773032,Cavan,http://en.wikipedia.org/w/index.php?diff=204189240,204189240,1207653046,193.178.3.7
773032,Cavan,http://en.wikipedia.org/w/index.php?diff=204188380,204188380,1207652565,193.178.3.7
16180917,Ardmore GAA,http://en.wikipedia.org/w/index.php?diff=197983977,197983977,1205424289,193.178.3.30
9530298,List of Irish dialling codes,http://en.wikipedia.org/w/index.php?diff=186797973,186797973,1201263994,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177407262,177407262,1197455569,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177406717,177406717,1197455170,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177406494,177406494,1197455000,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177406303,177406303,1197454864,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177406209,177406209,1197454794,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177406060,177406060,1197454699,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177405434,177405434,1197454348,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177404601,177404601,1197453913,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177404453,177404453,1197453824,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177404124,177404124,1197453649,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177403326,177403326,1197453231,193.178.3.7
1711644,Syphon Filter (series),http://en.wikipedia.org/w/index.php?diff=177400948,177400948,1197451768,193.178.3.7
219056,Fair City,http://en.wikipedia.org/w/index.php?diff=156934530,156934530,1189436344,193.178.3.4
219056,Fair City,http://en.wikipedia.org/w/index.php?diff=156934341,156934341,1189436278,193.178.3.4
2273809,Drimnagh,http://en.wikipedia.org/w/index.php?diff=154403907,154403907,1188401226,193.178.3.4
174638,Skull and Bones,http://en.wikipedia.org/w/index.php?diff=154394086,154394086,1188398214,193.178.3.4
12461112,Nicky McFadden,http://en.wikipedia.org/w/index.php?diff=147464799,147464799,1185550447,193.178.3.4
12461112,Nicky McFadden,http://en.wikipedia.org/w/index.php?diff=147461902,147461902,1185549429,193.178.3.4
12461112,Nicky McFadden,http://en.wikipedia.org/w/index.php?diff=147460704,147460704,1185549033,193.178.3.4
748342,Brian O'Driscoll,http://en.wikipedia.org/w/index.php?diff=139685888,139685888,1182440097,193.178.3.4
10165656,Derek O'Reilly,http://en.wikipedia.org/w/index.php?diff=131007075,131007075,1179228156,193.178.3.4
8643985,Anton O'Toole,http://en.wikipedia.org/w/index.php?diff=109515092,109515092,1171961615,193.178.3.4
8604501,Seán Doherty (Gaelic footballer),http://en.wikipedia.org/w/index.php?diff=109515032,109515032,1171961565,193.178.3.4
7086158,Butlersbridge,http://en.wikipedia.org/w/index.php?diff=108352337,108352337,1171556709,193.178.3.5
6631080,Talk:Steve Walsh (rugby referee),http://en.wikipedia.org/w/index.php?diff=107563074,107563074,1171290522,193.178.3.9
3264610,Meic Stevens,http://en.wikipedia.org/w/index.php?diff=88408360,88408360,1163765362,193.178.3.5
318901,Public art,http://en.wikipedia.org/w/index.php?diff=84818322,84818322,1162295509,193.178.3.5
318901,Public art,http://en.wikipedia.org/w/index.php?diff=84818006,84818006,1162295336,193.178.3.5
1769886,Eirjet,http://en.wikipedia.org/w/index.php?diff=83639603,83639603,1161785925,193.178.1.4
168340,Sludge,http://en.wikipedia.org/w/index.php?diff=78269656,78269656,1159432596,193.178.3.5
4184413,George Hook,http://en.wikipedia.org/w/index.php?diff=72390804,72390804,1156774482,193.178.3.5
295456,Talk:List of ethnic slurs by ethnicity/old,http://en.wikipedia.org/w/index.php?diff=71818149,71818149,1156518195,193.178.3.4
295456,Talk:List of ethnic slurs by ethnicity/old,http://en.wikipedia.org/w/index.php?diff=71817827,71817827,1156518081,193.178.3.4
907222,Representational State Transfer,http://en.wikipedia.org/w/index.php?diff=58560700,58560700,1150284812,193.178.3.30
907222,Representational State Transfer,http://en.wikipedia.org/w/index.php?diff=58560607,58560607,1150284743,193.178.3.30
1646243,Skanger,http://en.wikipedia.org/w/index.php?diff=20326265,20326265,1123234992,193.178.3.4
18935330,Typosquatting,http://en.wikipedia.org/w/index.php?diff=19572220,19572220,1122297847,193.178.3.5
2271821,Bray Town Council,http://en.wikipedia.org/w/index.php?diff=19218497,19218497,1121856349,193.178.3.5
2271821,Bray Town Council,http://en.wikipedia.org/w/index.php?diff=19218462,19218462,1121856300,193.178.3.5
383350,Bray,http://en.wikipedia.org/w/index.php?diff=19213574,19213574,1121848513,193.178.3.5
411102,Winny,http://en.wikipedia.org/w/index.php?diff=3762629,3762629,1085756379,193.178.1.1
411102,Winny,http://en.wikipedia.org/w/index.php?diff=3761262,3761262,1085756024,193.178.1.1
411102,Winny,http://en.wikipedia.org/w/index.php?diff=3761237,3761237,1085755897,193.178.1.1
411102,Winny,http://en.wikipedia.org/w/index.php?diff=3760927,3760927,1085754463,193.178.1.1
431596,Peter Lynds,http://en.wikipedia.org/w/index.php?diff=3359460,3359460,1083065412,193.178.1.1
