page_id,title,diff_url,revision_id,ts,timestamp,contributor_ip
774618,Танна (остров),http://ru.wikipedia.org/w/index.php?diff=63980441,63980441,1.404384315E9,1404384315,194.85.30.158
44754,Газпром,http://ru.wikipedia.org/w/index.php?diff=63980349,63980349,1.404384035E9,1404384035,195.80.224.233
84540,Родос,http://ru.wikipedia.org/w/index.php?diff=63958891,63958891,1.404296155E9,1404296155,95.173.151.153
4121291,17-й полк Национальной гвардии Украины,http://ru.wikipedia.org/w/index.php?diff=63956436,63956436,1.404287302E9,1404287302,194.226.80.68
3075713,"Руденский, Игорь Николаевич",http://ru.wikipedia.org/w/index.php?diff=63867368,63867368,1.403866298E9,1403866298,95.173.130.208
3075713,"Руденский, Игорь Николаевич",http://ru.wikipedia.org/w/index.php?diff=63865274,63865274,1.403860182E9,1403860182,95.173.130.208
2068497,"Голицын, Валерьян Михайлович",http://ru.wikipedia.org/w/index.php?diff=63864838,63864838,1.403858453E9,1403858453,194.85.30.195
11685,Новая Земля,http://ru.wikipedia.org/w/index.php?diff=63862305,63862305,1.403846351E9,1403846351,95.173.131.86
70118,"Шанцев, Валерий Павлинович",http://ru.wikipedia.org/w/index.php?diff=63847969,63847969,1.403774597E9,1403774597,89.109.7.178
633636,Командир корабля (фильм),http://ru.wikipedia.org/w/index.php?diff=63829107,63829107,1.403680046E9,1403680046,194.85.30.158
279982,"Дмитриева, Оксана Генриховна",http://ru.wikipedia.org/w/index.php?diff=63815225,63815225,1.403608376E9,1403608376,95.173.130.196
1632248,"Фуркад, Мартен",http://ru.wikipedia.org/w/index.php?diff=63809212,63809212,1.40357763E9,1403577630,194.8.246.153
1600939,Калчева,http://ru.wikipedia.org/w/index.php?diff=63801076,63801076,1.403535956E9,1403535956,78.108.195.14
279982,"Дмитриева, Оксана Генриховна",http://ru.wikipedia.org/w/index.php?diff=63798530,63798530,1.403527049E9,1403527049,95.173.130.196
279982,"Дмитриева, Оксана Генриховна",http://ru.wikipedia.org/w/index.php?diff=63798411,63798411,1.403526653E9,1403526653,95.173.130.196
279982,"Дмитриева, Оксана Генриховна",http://ru.wikipedia.org/w/index.php?diff=63798405,63798405,1.403526617E9,1403526617,95.173.130.196
3973483,"Игнатов, Геннадий Петрович",http://ru.wikipedia.org/w/index.php?diff=63792506,63792506,1.403506123E9,1403506123,195.208.85.215
